ValuationDate,IMLedis,tradeId,IMModel,productClass,riskType,qualifier,bucket,label1,label2,amount,amountCurrency,amountUSD,EndDate,CollectRegulations,PostRegulations
2018-09-01,CDS-10005292-18,DZ14798663,Schedule,FX,Notional,,,,,140002181.4934,EUR,168002617.79208001,2026-04-13 00:00:00,EMIR,
2018-09-01,CDS-10005292-18,FA22829352,Schedule,Equity,Notional,,,,,51270000.0,EUR,61524000.0,2018-12-21 00:00:00,EMIR,
2018-09-01,CDS-10005292-18,DZ14798663,Schedule,FX,PV,,,,,-2154631.4956,EUR,-2585557.79472,2026-04-13 00:00:00,EMIR,
2018-09-01,CDS-10005292-18,FA22829352,Schedule,Equity,PV,,,,,8534177.2068,EUR,10241012.648160001,2018-12-21 00:00:00,EMIR,
,CDS-10005292-18,DZ25971122,SIMM,RatesFX,Risk_IRCurve,BRL,3,1m,Libor1m,4.42050447030115,EUR,5.30460536436138,,EMIR,
,CDS-10005292-18,DZ25971122,SIMM,RatesFX,Risk_IRCurve,BRL,3,3m,Libor1m,1.5019708873757853,EUR,1.8023650648509424,,EMIR,
,CDS-10005292-18,DZ25971122,SIMM,RatesFX,Risk_IRCurve,EUR,1,1m,OIS,-4.479376043949742,EUR,-5.37525125273969,,EMIR,
,CDS-10005292-18,DZ25971122,SIMM,RatesFX,Risk_IRCurve,EUR,1,2w,OIS,-0.17485737864626566,EUR,-0.2098288543755188,,EMIR,
,CDS-10005292-18,DZ25971122,SIMM,RatesFX,Risk_IRCurve,EUR,1,3m,OIS,-1.4622497002128514,EUR,-1.7546996402554216,,EMIR,
,CDS-10005292-18,DZ25971122,SIMM,RatesFX,Risk_FX,BRL, , , ,-4946.233990816876,EUR,-5935.480788980251,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_IRCurve,BRL,3,1m,Libor1m,-0.22141060798037668,EUR,-0.265692729576452,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_IRCurve,BRL,3,1y,Libor1m,-23.44195049157182,EUR,-28.130340589886185,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_IRCurve,BRL,3,3m,Libor1m,-9.852142002320654e-11,EUR,-1.1822570402784785e-10,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_IRCurve,BRL,3,6m,Libor1m,-9.131858224423901,EUR,-10.958229869308681,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_IRCurve,EUR,1,1m,OIS,-4.016225687246015e-10,EUR,-4.819470824695218e-10,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_IRCurve,EUR,1,1y,Libor3m,25.049000244605004,EUR,30.058800293526005,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_IRCurve,EUR,1,1y,OIS,0.030244235130080514,EUR,0.03629308215609661,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_IRCurve,EUR,1,2w,OIS,1.2048677061738047e-09,EUR,1.4458412474085656e-09,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_IRCurve,EUR,1,3m,Libor3m,0.19606669506148786,EUR,0.23528003407378542,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_IRCurve,EUR,1,3m,OIS,-0.003225686482172187,EUR,-0.0038708237786066243,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_IRCurve,EUR,1,6m,Libor3m,10.033616787561257,EUR,12.04034014507351,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_IRCurve,EUR,1,6m,OIS,-0.009428654281350446,EUR,-0.011314385137620534,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_FX,USD, , , ,-4215.7682279423825,EUR,-5058.921873530859,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,RatesFX,Risk_FX,BRL, , , ,4058.8363597277826,EUR,4870.603631673339,,EMIR,
,CDS-10005292-18,,,,Param_AddOn-FixedAmount,,,,,100000.0,EUR,120000.0,,EMIR,
,CDS-10005292-18,,,,Param_AddOn-NotionalFactor,CrossCurrencySwap,,,,4.0,,4.0,,EMIR,
,CDS-10005292-18,,,,Param_AddOn-NotionalFactor,NonDeliverableForward,,,,6.0,,6.0,,EMIR,
,CDS-10005292-18,DZ25971122,SIMM,,Notional,NonDeliverableForward,,,,529953.8487,EUR,635944.61844,,EMIR,
,CDS-10005292-18,DZ26155587,SIMM,,Notional,NonDeliverableForward,,,,453904.1143,EUR,544684.93716,,EMIR,
,CDS-10005292-18,,,,Param_ProductClassMultiplier,RatesFX,,,,1.4,,1.4,,EMIR,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,10y,Libor3m,134.76662566163932,EUR,161.71995079396717,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,10y,Libor6m,17.511855129315023,EUR,21.014226155178026,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,10y,OIS,1.4512708383507908,EUR,1.741525006020949,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,1m,Libor6m,0.512420223788326,EUR,0.6149042685459911,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,1m,OIS,3.6510830693099156e-07,EUR,4.3812996831718987e-07,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,1y,Libor3m,116.38279699842667,EUR,139.659356398112,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,1y,Libor6m,11.000876949302224,EUR,13.201052339162668,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,1y,OIS,3.881766843968306,EUR,4.658120212761967,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,2w,Libor6m,0.305134552283585,EUR,0.366161462740302,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,2w,OIS,4.182674908456568e-07,EUR,5.019209890147882e-07,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,2y,Libor3m,97.72355641465583,EUR,117.26826769758699,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,2y,Libor6m,13.92381853819883,EUR,16.708582245838596,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,2y,OIS,-0.17213433192501412,EUR,-0.20656119831001693,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,3m,Libor3m,2072.9915244373456,EUR,2487.5898293248147,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,3m,Libor6m,-2071.017864204231,EUR,-2485.221437045077,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,3m,OIS,-0.17414959074652064,EUR,-0.20897950889582476,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,3y,Libor3m,125.404832840846,EUR,150.4857994090152,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,3y,Libor6m,29.19547787797181,EUR,35.034573453566175,,CFTC,
,CDS-10005292-18,DZ14798663,SIMM,RatesFX,Risk_IRCurve,CHF,1,3y,OIS,1.1087390058845767,EUR,1.3304868070614921,,CFTC,
